title,text,source,added_by
Тихое место–2 (2020),"«Тихое место-2» оказалось не таким уж и тихим, что меня не порадовало. Хотелось того же напряжения и страха, как при просмотре первого, тех же чувств и эмоций, когда звук и прикосновение в тишине пугают больше, чем крик на экране. Фильм стал больше похож на качественный ужастик, чем на триллер. Но несмотря на это, озарённый голубыми глазами Киллиана Мерфи фильм мне понравился. Сильная и красивая Эмили Блант в объективе своего мужа снова расцвела, а отважные персонажи её детей, очень настоящие и взрослые, придали реальности. Под конец уже даже хотелось продолжения истории и следующего фильма. Все как будто бы спасены, но нет.",,Mankesha
Supernova (2021),"Фильм про любовь, которую хотелось бы каждому. Фильм про ситуацию, о которой думать и даже представлять её не хочется никому. Дико красиво, чувственно и спокойно. Великолепные Колин Фёрт и Стенли Туччи продолжают радовать своим талантом и гранями актёрского мастерства, без пошлости и крайности о столь непростой теме.",,Mankesha
Человек-паук: Нет пути домой (2021),"Мешанина самых разных злодеев из всех паучих фильмов, прекрасно запомнившийся своего рода учёный Зелёный Гоблин, Песочный человечек и Мэтью Фокс. Так много всего и всех, но всё равно лучше британцев в фильме я не нашла никого, хотя Холланду отлично удалось справиться с британским акцентом и подкачаться для вполне такого громкого «ох!». Добровольно отсидела все титры, чтобы увидеть затравку на следующего плохого Стренджа. Хотелось бы того же драйва и энергии, как в Мстителях. И кажется, я впервые видела Камбербетча в трениках. ",,Mankesha
Rick and Morty,"С первого раза у вас вряд ли получится его посмотреть. И даже с пятого. У меня получилось только с восьмого. Американский юмор с рыгами и пуками мне совсем не понятен. Однако если перетерпеть половину сезона, то после вы сможете заметить, что этот сериал предоставляет такие пасхалки и теории заговора, о которых вы даже не догадывались. Иногда отличить одного морти от другого можно только по музыке. И когда вы это заметите, тогда для вас сложится один из многих пазлов.",,Anatoly_K
Изобретатель: Жажда крови в Силиконовой долине (2019),"«Стив Джобс в юбке» создаёт революционный стартап, который на деле оказывается полной фикцией. История явно показывает, что одного упорства в процессе — не достаточно.",,Anatoly_K
Кулинарные поединки Сомы,"Столь необычного мультика я не видел никогда. Этот мультик нельзя смотреть на голодный желудок! Показывают и рассказывают о еде так, что начинает непроизвольно выделяться огромное количество слюны. Да даже если вы смотрите его в процессе поедания вкусняшек, ситуация особо не меняется. Food-porn в прямом его понимании.",,Anatoly_K
Она (2013),"Трогательная история об одиноком писателе Теодоре, который влюбился в свою операционную систему. ОС начинает понимать чувства Теодора и эмоции, они вместе проводят время за интереснейшими беседами. Хотел бы я, чтобы голосовые помощники были такими уже сейчас.",,Anatoly_K
"Магнолия (Пол Томас Андерсон, 1999)","Очень сложное и долгое кино, которое не каждый сможет осилить. Но есть настоящие ценители, которые нежно любят этот фильм за его бесконечные метафоры. В фильме рассказаны истории разных людей, чьи судьбы косвенно пересекаются. Фильм о взаимоотношениях в семье и обществе. Внимание, в конце вас ждёт дождь из лягушек. ",,ahlera
"Рука бога (Соррентино, 2021)","История молодого парня, который живёт в Неаполе. Тяжёлые события в жизни выпадают на период его взросления и становления. Несмотря на неожиданную трагедию в жизни героя есть место радостям, таким как приезд известного футболиста Диего Марадоны. Фильм невероятно красивый и чувственный. Если вы хотите получить эстетическое удовольствие, обязательно посмотрите его.",,ahlera
"Любовь (2012, Ханеке)","Фильм о пожилой паре, которая прожила всю жизнь рука об руку. Действие происходит в парижской квартире. Жена тяжело заболевает, а муж принимает решение самостоятельно заботиться о ней до самой смерти. В этом фильме показаны самые сложные чувства героев: вина, стыд, сопереживание, злость, а самое главное любовь. Фильм непростой, подготовьте носовые платочки перед просмотром.",,ahlera
